SeraphimDroid Record,Starting date and time:,2019-08-12-15-46-07,Read interval (ms):,1000,MemTotal (kB),3749908
Total CPU usage (%),SeraphimDroid (Pid 18072) CPU usage (%),SeraphimDroid Memory (kB),,Memory used (kB),Memory available (MemFree+Cached) (kB),MemFree (kB),Cached (kB),Threshold (kB), dis_auto, dis_RNN
0,0,164784,,3070064,679844,92952,586892,221184,0.50159633,6.676995

0,0,164784,,3070512,679396,91284,588112,221184,0.40427166,4.72915

0,0,164784,,3055296,694612,104088,590524,221184,0.36104897,4.2430058

0,0,164784,,3056464,693444,102364,591080,221184,0.9559632,10.817582

0,0,164784,,3058088,691820,99976,591844,221184,0.8749502,9.575037

0,0,164784,,3058420,691488,99628,591860,221184,0.80211097,8.216565

0,0,164784,,3058856,691052,99184,591868,221184,0.78839684,7.876909

0,0,164784,,3060124,689784,97956,591952,221184,0.7700946,7.5156784

0,0,164784,,3060628,689280,96508,592896,221184,0.7104034,6.824864

0,0,164784,,3061712,688196,94752,593444,221184,0.6877493,6.2899137

0,0,164784,,3061752,688156,94680,593476,221184,0.6365167,5.640902

0,0,164784,,3062640,687268,93768,593500,221184,0.6290301,5.5641537

0,0,164784,,3005620,744288,147108,597208,221184,0.57465655,5.181321

0,0,164784,,3005308,744600,146048,598552,221184,11.993145,44.43117

0,0,164784,,3006144,743764,145148,598616,221184,9.105033,37.808136

0,0,164784,,3006724,743184,144504,598680,221184,7.3345094,33.055744

0,0,164784,,3007980,741928,143208,598720,221184,6.2660217,29.717136

0,0,164784,,3008524,741384,142648,598736,221184,5.401694,26.692284

0,0,164784,,3009216,740692,141908,598784,221184,4.912952,24.678978

0,0,164784,,3010148,739760,140976,598784,221184,4.5227776,22.906668

0,0,164784,,3009788,740120,141336,598784,221184,4.192562,21.282795

0,0,164784,,3010376,739532,140724,598808,221184,4.0861726,20.52781

0,0,164784,,3010644,739264,140428,598836,221184,3.8921378,19.391935

0,0,164784,,3010892,739016,140148,598868,221184,3.7619767,18.532864

0,0,164784,,3011568,738340,139404,598936,221184,3.6531181,17.769741

0,0,164784,,3011884,738024,139056,598960,221184,3.5229633,16.88859

0,0,164784,,3011980,737928,138436,599492,221184,3.4403157,16.245132

0,0,164784,,3013024,736884,137036,599848,221184,3.3822935,15.679721

0,0,164784,,3014664,735244,133180,602064,221184,3.2657366,14.814488

0,0,164784,,3015096,734812,132692,602120,221184,3.1436648,13.608916

0,0,164784,,3014840,735068,133052,602016,221184,3.084246,13.172279

0,0,164784,,3015956,733952,131048,602740,221184,3.0647612,13.017888

0,0,164784,,3016520,733388,129960,603244,221184,2.9926288,12.303743

0,0,164784,,3017628,732280,128840,603440,221184,2.9399853,11.865596

0,0,164784,,3018376,731532,128076,603456,221184,2.835999,11.331595

0,0,164784,,3017956,731952,123160,608792,221184,2.7640977,10.92763

0,0,164784,,3018148,731760,109512,622744,221184,2.8610876,10.644703

0,0,164784,,3127784,622124,89584,532368,221184,2.7543347,10.523335

0,0,164784,,3122480,627428,80868,546560,221184,6.5776806,2.93036

0,0,164784,,3131248,618660,79848,539056,221184,4.8626294,1.7398269

0,0,164784,,3160576,589332,100880,488572,221184,6.544523,2.7224035

0,0,164784,,3162644,587264,89988,497276,221184,17.45018,10.792727

0,0,164784,,3167032,582876,85088,497788,221184,14.850058,8.992848

0,0,164784,,3174780,575128,78428,496700,221184,14.963968,8.949956

0,0,164784,,3175720,574188,77440,496748,221184,16.391447,9.718731

0,0,164784,,3177880,572028,73260,498768,221184,15.820401,9.237681

0,0,164784,,3177384,572524,75252,497272,221184,15.642125,8.956187

0,0,164784,,3179300,570608,73068,497540,221184,14.791206,8.372221

0,0,164784,,3164552,585356,81912,503444,221184,14.6593895,8.2056

0,0,164784,,3166676,583232,79716,503516,221184,10.313363,5.3148136

0,0,164784,,3168080,581828,78228,503724,221184,10.413569,5.3121147

0,0,164784,,3169296,580612,75656,504956,221184,10.349003,5.2257776

0,0,164784,,3169444,580464,73684,506780,221184,10.286758,5.118093

0,0,164784,,3163008,586900,83936,502964,221184,9.992667,4.8825035

0,0,164784,,3162680,587228,84208,503020,221184,8.33384,4.0076423

0,0,164784,,3163464,586444,83376,503068,221184,8.014106,3.800475

0,0,164784,,3164440,585468,82200,503268,221184,7.919483,3.7083924

0,0,164784,,3166852,583056,76180,506876,221184,7.869536,3.6378665

0,0,164784,,3163316,586592,79072,507644,221184,8.125875,3.672315

0,0,164784,,3165872,584036,75940,508100,221184,7.206585,3.1277375

0,0,164784,,3163592,586316,78184,508132,221184,7.5313435,3.285523

0,0,164784,,3164512,585396,77244,508152,221184,6.9065614,2.9197204

0,0,164784,,3165432,584476,75412,509064,221184,6.9109273,2.9088695

0,0,164784,,3165884,584024,74696,509328,221184,6.931547,2.9027388

0,0,164784,,3167816,582092,72764,509328,221184,6.861803,2.854237

0,0,164784,,3167240,582668,74600,508192,221184,7.0826607,2.9814036

0,0,164784,,3168124,581784,73544,508240,221184,6.7760878,2.7996252

0,0,164784,,3166780,583128,74868,508260,221184,6.809133,2.811667

0,0,164784,,3167820,582088,73232,508856,221184,6.407872,2.5742278

0,0,164784,,3164732,585176,78580,506596,221184,6.4774175,2.6102016

0,0,164784,,3166020,583888,77152,506736,221184,5.7589073,2.221978

0,0,164784,,3166644,583264,76524,506740,221184,5.8593574,2.2638514

0,0,164784,,3164328,585580,73464,511872,221184,5.8474765,2.2506459

0,0,164784,,3162224,587684,72680,515004,221184,5.4405513,2.016821

0,0,164784,,3153192,596716,74484,520996,221184,5.016945,1.8054365

0,0,164784,,3155520,594388,72812,521808,221184,3.7511144,1.1470184

0,0,164784,,3151924,597984,76724,521260,221184,3.9257715,1.2726289

0,0,164784,,3153244,596664,75640,521272,221184,3.3690786,0.9598786

0,0,164784,,3150500,599408,78116,521292,221184,3.4779024,1.0214304

0,0,164784,,3149520,600388,78664,521724,221184,3.0882032,0.8256698

0,0,164784,,3150312,599596,77988,521732,221184,2.92763,0.7548218

0,0,164784,,3150836,599072,77464,521732,221184,2.974416,0.77888614

0,0,164784,,3150916,598992,77252,521740,221184,2.9977448,0.7919571

0,0,164784,,3151408,598500,76760,521740,221184,2.975135,0.7826178

0,0,164784,,3150608,599300,77548,521752,221184,2.9963152,0.7953929

0,0,164784,,3151340,598568,76816,521752,221184,2.8570023,0.7306181

0,0,164784,,3151836,598072,76308,521764,221184,2.90922,0.7579293

0,0,164784,,3152468,597440,75664,521776,221184,2.9332724,0.7725489

0,0,164784,,3129356,620552,74996,545056,221184,2.9757757,0.79707235

0,0,164784,,3104964,644944,96396,548548,221184,1.0737977,0.38860887

0,0,164784,,3104428,645480,95044,550436,221184,0.22671993,0.9644098

0,0,164784,,3107320,642588,91272,551316,221184,0.18095751,0.9401812

0,0,164784,,3107436,642472,91064,551408,221184,0.18105996,0.7188584

0,0,164784,,3107428,642480,91056,551424,221184,0.18126267,0.71222883

0,0,164784,,3108040,641868,90444,551424,221184,0.18032949,0.7140946

0,0,164784,,3108200,641708,90268,551440,221184,0.18082401,0.6806434

0,0,164784,,3107020,642888,91384,551504,221184,0.18016791,0.67332244

0,0,164784,,3107024,642884,90076,552776,221184,0.17242278,0.74287724

0,0,164784,,3107332,642576,89708,552868,221184,0.15307796,0.7277057

0,0,164784,,3107828,642080,89204,552876,221184,0.15196632,0.71250993

0,0,164784,,3108612,641296,88024,553272,221184,0.15374605,0.68795633

0,0,164784,,3109220,640688,87404,553284,221184,0.15697336,0.6511223

0,0,164784,,3108812,641096,87812,553284,221184,0.16482002,0.6265123

0,0,164784,,3109436,640472,87180,553292,221184,0.1581006,0.64584196

0,0,164784,,3107936,641972,88720,553252,221184,0.16691649,0.62109125

0,0,164784,,3108292,641616,88356,553260,221184,0.14729239,0.6909437

0,0,164784,,3108600,641308,88048,553260,221184,0.15000498,0.67510915

0,0,164784,,3109404,640504,87224,553280,221184,0.15288368,0.6622311

0,0,164784,,3120040,629868,78560,551184,221184,0.16381952,0.62860197

0,0,164784,,3108024,641884,78124,563760,221184,0.5812647,0.43428975

0,0,164784,,3087972,661936,103856,558080,221184,0.38536528,0.9994056

0,0,164784,,3082636,667272,108192,559080,221184,0.2794964,2.5688255

0,0,164784,,3083168,666740,107660,559080,221184,0.4093378,3.369999

0,0,164784,,3084600,665308,106216,559092,221184,0.39239118,3.2632906

0,0,164784,,3084484,665424,106332,559092,221184,0.3487871,3.0055516

0,0,164784,,3083820,666088,106988,559100,221184,0.35112706,3.0161774

0,0,164784,,3084136,665772,106672,559100,221184,0.36958066,3.1194155

0,0,164784,,3083872,666036,107004,559032,221184,0.3590864,3.0559263

0,0,164784,,3084020,665888,106896,558992,221184,0.36727092,3.0972533

0,0,164784,,3084148,665760,106728,559000,221184,0.36256596,3.0657976

0,0,164784,,3084456,665452,106452,559000,221184,0.35762966,3.0310419

0,0,164784,,3085108,664800,98892,565908,221184,0.34724888,2.9737954

0,0,164784,,3084200,665708,99332,566376,221184,0.20611599,2.4979618

0,0,164784,,3084512,665396,93244,572152,221184,0.22152449,2.5996752

0,0,164784,,3084000,665908,90844,575064,221184,0.17115903,2.4718401

0,0,164784,,3084760,665148,89084,576064,221184,0.11150384,2.5507605

0,0,164784,,3085712,664196,88232,576088,221184,0.10379798,2.5030022

0,0,164784,,3085720,664188,87956,576232,221184,0.11158972,2.4252613

0,0,164784,,3087092,662816,84468,578348,221184,0.11394011,2.424772

0,0,164784,,3086184,663724,85368,578356,221184,0.17981248,2.4212096

0,0,164784,,3086176,663732,85372,578360,221184,0.15547495,2.4742992

0,0,164784,,3086096,663812,85444,578368,221184,0.15513022,2.4719245

0,0,164784,,3086060,663848,85480,578368,221184,0.1531479,2.474437

0,0,164784,,3086128,663780,84836,578944,221184,0.15206249,2.4737296

0,0,164784,,3086404,663504,84560,578944,221184,0.16767947,2.4954655

0,0,164784,,3086808,663100,84148,578952,221184,0.1749064,2.4752972

0,0,164784,,3100544,649364,81708,567824,221184,0.18660975,2.448625

0,0,164784,,3106540,643368,73584,569784,221184,0.2763091,1.2680851

0,0,164784,,3105556,644352,74880,569592,221184,0.81208795,1.4390658

0,0,164784,,3116392,633516,75500,558016,221184,0.6972264,1.3878952

0,0,164784,,3106332,643576,83928,559648,221184,0.75591797,0.7230355

0,0,164784,,3081624,668284,73684,594956,221184,0.18907511,0.77202326

0,0,164784,,3076908,673000,74712,598288,221184,0.85275185,4.146565

0,0,164784,,3110312,639596,83648,555948,221184,0.88047254,4.6873417

0,0,164784,,3088544,661364,73700,588304,221184,0.25877196,0.55724984

0,0,164784,,3080804,669104,75032,594072,221184,0.76630884,3.211305

0,0,164784,,3085672,664236,74284,590116,221184,0.741993,4.050135

0,0,164784,,3080220,669688,73784,595904,221184,0.7305555,3.4607048

0,0,164784,,3088080,661828,75192,586636,221184,0.8471694,4.2729826

0,0,164784,,3102584,647324,73468,574072,221184,0.63044965,3.0140963

0,0,164784,,3097432,652476,83196,569280,221184,0.8062935,1.6969789

0,0,164784,,3094528,655380,85348,569868,221184,0.20737576,1.4005736

0,0,164784,,3098148,651760,73492,578268,221184,0.1651426,1.5668446

0,0,164784,,3127364,622544,78688,544440,221184,0.7910197,2.0814207

0,0,164784,,3120688,629220,88672,540548,221184,1.1114962,0.28686357

0,0,164784,,3119232,630676,83680,546996,221184,0.76440173,0.24316172

0,0,164784,,3113636,636272,74512,561760,221184,0.58538854,0.24104643

0,0,164784,,3113744,636164,75820,560344,221184,0.7375483,0.8705752

0,0,164784,,3113824,636084,75148,560936,221184,0.6446238,0.7626476

0,0,164784,,3114056,635852,75148,560704,221184,0.6876753,0.80875003

0,0,164784,,3114616,635292,77580,557712,221184,0.688442,0.7967553

0,0,164784,,3117456,632452,72528,559924,221184,0.55250305,0.6046052

0,0,164784,,3118744,631164,75224,555940,221184,0.9558484,0.8644774

0,0,164784,,3120688,629220,76312,552908,221184,0.80006915,0.59951943

0,0,164784,,3120672,629236,76216,553020,221184,0.8116523,0.47136456

0,0,164784,,3121540,628368,74856,553512,221184,0.811261,0.47707444

0,0,164784,,3122720,627188,77548,549884,221184,0.9160215,0.54167604

0,0,164784,,3123656,626252,76104,550156,221184,0.83478624,0.36229205

0,0,164784,,3123264,626644,73388,553256,221184,0.9415394,0.41775334

0,0,164784,,3124480,625428,76792,548760,221184,1.0658479,0.60443604

0,0,164784,,3126704,623204,74404,548800,221184,0.9429023,0.36731887

0,0,164784,,3129168,620740,77032,543708,221184,1.1719928,0.47468287

0,0,164784,,3130716,619192,75648,543544,221184,1.2179931,0.32268327

0,0,164784,,3132204,617704,73796,543908,221184,1.3699101,0.38870278

0,0,164784,,3132208,617700,72984,544716,221184,1.5624821,0.49555796

0,0,164784,,3133732,616176,74252,541924,221184,1.5938907,0.54333574

0,0,164784,,3134968,614940,74760,540180,221184,1.6495646,0.4754362

0,0,164784,,3137712,612196,76656,535540,221184,1.7295543,0.46208966

0,0,164784,,3140128,609780,73988,535792,221184,1.9337316,0.43990213

0,0,164784,,3141484,608424,77596,530828,221184,2.2584324,0.6108703

0,0,164784,,3142660,607248,74428,532820,221184,2.3129454,0.531212

0,0,164784,,3145036,604872,77292,527580,221184,2.5025854,0.66692007

0,0,164784,,3147728,602180,74592,527588,221184,2.7254713,0.6824079

0,0,164784,,3148132,601776,81812,519964,221184,3.11047,0.8811208

0,0,164784,,3149800,600108,79924,520208,221184,3.0857182,0.84658843

0,0,164784,,3151208,598700,78576,520248,221184,3.2934642,0.9181798

0,0,164784,,3150336,599572,77868,521704,221184,3.47078,0.99276614

0,0,164784,,3152284,597624,76032,521724,221184,3.3229299,0.924287

0,0,164784,,3153244,596664,74904,521760,221184,3.5889187,1.0589292

0,0,164784,,3156672,593236,81704,511532,221184,3.7297041,1.1352681

0,0,164784,,3163088,586820,77336,509484,221184,4.1855574,1.4096707

0,0,164784,,3163800,586108,81148,504960,221184,5.2582116,1.9189007

0,0,164784,,3165084,584824,79840,504984,221184,5.3056226,2.0395834

0,0,164784,,3167912,581996,74056,507940,221184,5.4775867,2.1024919

0,0,164784,,3164208,585700,77436,508264,221184,6.032059,2.3316615

0,0,164784,,3167164,582744,74476,508292,221184,5.2133026,1.8955512

0,0,164784,,3168868,581040,72756,508532,221184,5.7504683,2.171712

0,0,164784,,3170940,578968,82324,496512,221184,6.029449,2.3346257

0,0,164784,,3160328,589580,108204,481376,221184,6.2676487,2.6939483

0,0,164784,,3166772,583136,93676,489460,221184,7.3220496,4.857323

0,0,164784,,3172644,577264,77988,499276,221184,6.660512,3.0571005

0,0,164784,,3173808,576100,75388,500712,221184,6.356639,2.593828

0,0,164784,,3163152,586756,85496,501260,221184,6.556361,2.6606486

0,0,164784,,3165608,584300,78276,506024,221184,4.7018456,1.769838

0,0,164784,,3167216,582692,74604,508088,221184,4.8790374,1.7263341

0,0,164784,,3144440,605468,97692,507776,221184,5.1827602,1.8599935

0,0,164784,,3147616,602292,92664,509628,221184,3.1142771,1.4113816

0,0,164784,,3149396,600512,89416,511096,221184,3.0038755,1.0329374

0,0,164784,,3149120,600788,88824,511964,221184,2.8908498,0.86277187

0,0,164784,,3151536,598372,79044,519328,221184,2.7744582,0.7976295

0,0,164784,,3147912,601996,82008,519920,221184,2.6166399,0.62591004

0,0,164784,,3148840,601068,81588,519480,221184,2.1730409,0.46518272

0,0,164784,,3149444,600464,80848,519616,221184,2.2443116,0.49320537

0,0,164784,,3149260,600648,81008,519640,221184,2.3008013,0.50788325

0,0,164784,,3147904,602004,82456,519672,221184,2.262147,0.49456376

0,0,164784,,3148604,601304,81596,519708,221184,2.1158338,0.44530237

0,0,164784,,3149636,600272,79324,521072,221184,2.1582916,0.4599567

0,0,164784,,3151328,598580,77228,521352,221184,2.256528,0.4921654

0,0,164784,,3152616,597292,74812,522480,221184,2.4766037,0.5870192

0,0,164784,,3151232,598676,77816,520860,221184,2.6753008,0.7048801

0,0,164784,,3151744,598164,77284,520880,221184,2.4195735,0.5586065

0,0,164784,,3153068,596840,75932,520908,221184,2.4729853,0.5835657

0,0,164784,,3149488,600420,79296,521248,221184,2.6459992,0.6672159

0,0,164784,,3151532,598376,77228,521272,221184,2.1398842,0.4512806

0,0,164784,,3153320,596588,82172,514416,221184,2.3907824,0.55537504

0,0,164784,,3152424,597484,83044,514440,221184,2.5788186,0.6329884

0,0,164784,,3153540,596368,81896,514472,221184,2.4898646,0.5984093

0,0,164784,,3154744,595164,80644,514520,221184,2.5587232,0.62369066

0,0,164784,,3155796,594112,79552,514560,221184,2.6875415,0.6625838

0,0,164784,,3157292,592616,76920,515696,221184,2.8127534,0.70506364

0,0,164784,,3153008,596900,82444,514456,221184,3.019559,0.79768646

0,0,164784,,3165444,584464,75792,508660,221184,2.4435537,0.576038

0,0,164784,,3154772,595136,74608,520528,221184,4.1906347,1.3409122

0,0,164784,,3154600,595308,79264,516292,221184,2.686715,0.7083394

0,0,164784,,3154596,595312,78712,516600,221184,2.5397632,0.5959605

0,0,164784,,3153320,596588,79176,517408,221184,2.5417826,0.5951406

0,0,164784,,3154744,595164,77748,517416,221184,2.3646667,0.52786374

0,0,164784,,3155344,594564,73720,517656,221184,2.5380588,0.5986922

0,0,164784,,3155224,594684,76876,517808,221184,2.9083605,0.7740195

0,0,164784,,3156648,593260,75212,518048,221184,2.5768733,0.62159723

0,0,164784,,3156212,593696,75360,518336,221184,2.7776835,0.7236192

0,0,164784,,3154596,595312,80760,514552,221184,2.7003257,0.69119036

0,0,164784,,3154848,595060,80472,514588,221184,2.4064238,0.551506

0,0,164784,,3155720,594188,79556,514632,221184,2.4223886,0.55457586

0,0,164784,,3156948,592960,76132,516828,221184,2.518431,0.58577204

0,0,164784,,3156424,593484,76012,517472,221184,2.7037687,0.67747456

0,0,164784,,3157360,592548,75056,517596,221184,2.623599,0.6491927

0,0,164784,,3157268,592640,77172,515468,221184,2.7424755,0.7118897

0,0,164784,,3158000,591908,75868,516040,221184,2.6692867,0.65030366

0,0,164784,,3158684,591224,75140,516084,221184,2.7719617,0.70550793

0,0,164784,,3157928,591980,75180,516768,221184,2.8605583,0.7517098

0,0,164784,,3159276,590632,73932,516700,221184,2.7467144,0.7069052

0,0,164784,,3159764,590144,75388,514756,221184,2.9383442,0.80728143

0,0,164784,,3161500,588408,73640,514768,221184,2.9374585,0.77526766

0,0,164784,,3161792,588116,74308,513808,221184,3.2025945,0.91638666

0,0,164784,,3160828,589080,77640,511564,221184,3.1983504,0.8987817

0,0,164784,,3161292,588616,76936,511680,221184,2.9642775,0.7653132

0,0,164784,,3161824,588084,76376,511708,221184,3.0253735,0.7922561

0,0,164784,,3162448,587460,75720,511740,221184,3.0868917,0.82173866

0,0,164784,,3163320,586588,74844,511744,221184,3.1650002,0.86073416

0,0,164784,,3162580,587328,76520,510808,221184,3.2859006,0.92313623

0,0,164784,,3162908,587000,75944,511056,221184,3.122742,0.8348538

0,0,164784,,3163548,586360,75372,510988,221184,3.1580374,0.854264

0,0,164784,,3164176,585732,74708,511024,221184,3.238046,0.89411956

0,0,164784,,3163420,586488,79640,506848,221184,3.3209481,0.9381477

0,0,164784,,3162816,587092,80208,506884,221184,3.105257,0.84289944

0,0,164784,,3163828,586080,79164,506916,221184,2.9971333,0.80331516

0,0,164784,,3163196,586712,75832,510552,221184,3.123204,0.844108

0,0,164784,,3164028,585880,75420,510584,221184,3.0944276,0.82357097

0,0,164784,,3164892,585016,74384,510616,221184,3.1651409,0.8625845

0,0,164784,,3162684,587224,75384,511080,221184,3.3018792,0.9332556

0,0,164784,,3163560,586348,76724,509640,221184,3.0052247,0.786418

0,0,164784,,3162704,587204,78036,509168,221184,3.0194461,0.78787094

0,0,164784,,3165344,584564,75376,509188,221184,2.8678317,0.72185004

0,0,164784,,3164372,585536,76340,509196,221184,3.2537677,0.89744115

0,0,164784,,3161548,588360,79472,509012,221184,3.0775557,0.8137817

0,0,164784,,3163452,586456,77428,509028,221184,2.6366527,0.63697255

0,0,164784,,3164868,585040,75996,509040,221184,2.8979943,0.7340749

0,0,164784,,3165960,583948,74876,509072,221184,3.095203,0.8232291

0,0,164784,,3165636,584272,75204,509068,221184,3.2523727,0.90160966

0,0,164784,,3166568,583340,77788,505552,221184,3.178007,0.8655416

0,0,164784,,3167784,582124,76564,505560,221184,3.235004,0.88125736

0,0,164784,,3168648,581260,75720,505536,221184,3.4055598,0.95508194

0,0,164784,,3162696,587212,82112,505348,221184,3.5240605,1.011437

0,0,164784,,3164168,585740,80564,505176,221184,2.6783488,0.6839698

0,0,164784,,3166368,583540,78324,505216,221184,2.796745,0.7261758

0,0,164784,,3165864,584044,78804,505240,221184,3.0943015,0.822983

0,0,164784,,3166996,582912,76916,506120,221184,2.9988236,0.7860015

0,0,164784,,3166900,583008,76896,506112,221184,3.1550078,0.84446174

0,0,164784,,3168056,581852,75724,506128,221184,3.1306767,0.83252037

0,0,164784,,3169152,580756,78400,502356,221184,3.2942693,0.9084607

0,0,164784,,3169388,580520,78136,502384,221184,3.372206,0.95424384

